trial_id,stim_id,param_id,sample_n_mean,sample_n_std
7,5,124,33.1,24.891131373495895
18,34,108,22.6,27.32533045016155
3,9,125,90.65,63.72083440164689
0,35,128,32.3,24.83651810497895
16,30,12,13.2,21.54456824939018
9,11,109,40.2,44.476605322940635
4,39,126,31.35,28.42029482420506
16,26,120,15.4,16.76274063762279
0,44,127,82.55,86.59857480290734
11,8,107,36.25,38.27170866593921
7,21,123,63.0,53.096733966363104
12,46,105,60.35,42.58894717004204
7,5,124,30.4,30.642935134941148
8,27,121,68.2,76.82694154636394
15,3,122,24.45,27.442715455634985
11,3,1,92.25,88.12065592129919
0,35,128,41.25,36.724973576716515
3,9,125,48.65,39.57042356423079
18,34,108,21.25,33.10410214682417
16,30,12,21.45,30.67739610167309
4,39,126,39.1,39.06660978380386
7,6,124,31.65,20.510010392873752
0,35,128,31.15,23.967686580060246
16,26,120,23.6,25.244905687244998
11,8,107,31.85,33.391261069170085
15,3,122,24.7,31.54629013137094
12,46,105,43.35,47.91689626184506
0,35,128,30.2,16.391910713583858
4,39,126,36.3,29.008347256028145
9,11,109,71.7,65.235686068609
11,3,1,47.05,56.51406438829373
7,6,124,31.95,20.34045748075288
16,30,12,28.95,33.778652554846715
7,21,123,73.35,42.7369863233242
16,26,120,14.25,16.267096269851958
3,9,125,55.4,45.09101906144948
18,34,108,32.15,31.00471101724959
0,44,127,78.1,80.5591642668196
8,27,121,60.95,89.24801339378286
15,4,122,22.0,27.85677655436824
11,8,107,37.45,46.41968162434188
0,35,128,39.25,23.09904304237914
7,6,124,30.35,23.301852196541667
16,30,12,18.05,28.18076051418582
4,39,126,50.15,41.82202265490477
18,34,108,12.95,12.930889170387397
16,26,120,22.95,30.180989136593215
0,35,128,36.65,21.56330948137307
12,46,105,51.3,46.01384231087996
15,4,122,23.95,29.240338035341736
9,11,109,52.7,61.0996597458008
7,6,124,27.4,19.674723297726587
0,45,127,47.15,69.32249198302699
4,39,126,32.1,36.24028000356568
3,9,125,75.25,50.327218752563915
8,27,121,52.15,63.06160313117391
16,26,120,12.15,16.41974100699649
16,30,12,25.0,26.36385084882228
18,34,108,23.15,24.236282066790952
7,21,123,81.75,62.29376500015662
7,6,124,26.25,20.395755492387703
15,4,122,21.05,23.164116987044284
0,36,128,56.05,23.0068067730995
11,3,1,81.4,86.664750316195
4,39,126,33.05,43.46623008606493
11,8,107,85.55,71.94842816760817
16,30,12,18.55,23.968125763846846
7,6,124,28.9,25.735292171605412
16,26,120,22.9,32.0639164301884
9,11,109,60.6,61.73917974665255
15,4,122,22.55,19.3675664857242
0,36,128,44.6,37.30725906505822
0,45,127,71.75,69.24014275274894
8,27,121,48.2,62.14973430099449
3,9,125,71.5,49.155499772606696
12,46,105,73.15,75.52293133806934
18,34,108,37.0,45.53309958584784
7,6,124,23.55,13.108755611583065
7,21,123,63.7,46.97490931617812
16,30,12,22.35,31.184130579511113
16,27,120,20.75,33.818205934549205
0,36,128,41.05,28.667742737861495
15,4,122,17.25,17.395931163712724
4,39,126,58.95,52.084420339534
11,3,1,63.85,65.50554416070042
3,9,125,41.75,28.920717396649103
7,6,124,32.6,18.500071123618618
18,34,108,27.5,40.818597412660345
9,11,109,58.85,80.47508604334767
15,4,122,20.65,19.89254025746176
11,8,107,67.9,74.19597095033636
16,27,120,19.35,28.184122069741775
8,27,121,61.8,52.76322483261274
16,30,12,25.95,30.133867989357093
0,36,128,51.45,38.468681725323144
7,21,123,56.65,52.276869193091315
12,46,105,63.45,37.90774813176131
7,6,124,32.15,27.305821627206935
4,39,126,48.95,41.4861739809656
11,3,1,38.4,39.170880699019804
0,45,127,70.35,105.3411875264072
3,9,125,52.95,41.076917580251035
18,34,108,16.3,20.721461033634213
16,27,120,12.2,17.960775976672345
16,30,12,20.1,15.182746440406762
0,36,128,45.8,35.78238319855765
15,4,122,30.5,29.346388641803774
7,6,124,36.1,23.289708592332996
4,39,126,39.1,31.562636138320258
11,8,107,53.95,55.85929221101704
16,27,120,11.95,19.25582618599532
7,21,123,62.95,49.760981332344066
18,34,108,18.6,23.893183348526744
0,36,128,41.95,24.658669874914178
12,46,105,56.05,44.57102551870973
8,27,121,63.25,67.95189862186184
3,9,125,59.95,42.49393145528331
7,6,124,28.15,17.05802789860169
4,39,126,28.75,29.820295102496885
16,30,12,17.85,17.514730642338872
9,11,109,70.65,68.2913842142238
15,4,122,24.05,34.25365904388518
16,27,120,13.45,17.71551505557235
11,3,1,69.3,64.15203980019899
0,36,128,36.05,25.539391659078127
7,6,124,31.0,31.299907516258184
8,27,121,30.9,33.95647368710653
15,4,122,21.35,24.344620069243007
4,39,126,47.6,41.47973506487996
18,34,108,27.9,28.069275204862628
16,30,12,31.85,30.333714090534905
7,21,123,60.0,44.060962552498005
16,27,120,10.7,15.603980598754788
3,10,125,61.2,48.19652750103367
0,45,127,101.8,87.69060442979715
0,36,128,41.8,27.035259628083743
7,6,124,31.75,24.717083374183044
12,46,105,63.1,58.45096910636883
11,8,107,74.95,72.1412904616606
4,39,126,40.4,31.219764320227124
15,4,122,23.75,27.38396572717999
16,27,120,11.75,15.437053850361062
9,11,109,73.05,76.91175736552007
7,6,124,20.6,18.155468945515533
0,36,128,38.4,38.36171336934234
16,30,12,29.4,28.930770361056933
18,34,108,33.5,39.47884176832472
3,10,125,54.85,41.329580333295375
4,39,126,28.3,28.51610809792654
8,27,121,67.45,66.96776522288442
11,3,1,63.15,93.03099370357002
15,4,122,16.45,20.686825199679753
7,6,124,31.3,17.12830836271992
12,46,105,39.25,34.706096840393
0,36,128,45.7,26.320094384729185
11,8,107,44.25,38.861257936678435
16,27,120,20.2,22.726288973924355
7,21,123,79.35,43.88414771933746
16,30,12,23.4,24.775624693382976
4,39,126,33.3,26.131449090682807
18,34,108,22.75,30.23743758288634
7,6,124,26.25,23.296430718256527
15,4,122,22.9,18.878838055235008
3,10,125,54.1,50.68883402423893
16,27,120,16.05,18.673017403391675
0,36,128,49.0,26.461491384950122
9,11,109,63.65,74.82982447914031
7,21,123,35.6,33.58006927675372
7,6,124,22.9,17.713806687677867
16,30,12,23.95,34.7993874719233
0,45,127,102.45,101.96153815610029
11,3,1,58.9,63.989226066827676
12,46,105,53.9,48.98753869473767
8,27,121,61.7,73.00187452531974
4,39,126,49.7,43.793895272719176
18,34,108,25.8,33.873759445142326
11,8,107,59.65,45.13987034470571
0,36,128,36.95,16.69691115461968
15,4,122,26.4,23.008922754353133
16,27,120,23.6,29.70273777918371
7,6,124,30.9,21.30949874685243
16,30,12,17.9,22.232976929729737
3,10,125,69.25,53.54965723021655
7,21,123,55.95,42.99629727019955
4,39,126,41.1,49.21371225262539
12,46,105,37.65,36.589148520752495
7,6,124,24.9,16.156797494031974
15,4,122,26.85,19.04088399097833
0,36,128,56.55,30.691118207750353
18,34,108,29.75,37.58901715297057
16,27,120,22.1,36.42136446474355
9,11,109,73.5,80.48569666978756
0,45,127,77.65,66.20007552865782
16,30,12,24.25,31.09895073538825
8,27,121,66.15,62.567248032143695
4,39,126,31.45,36.72440032114028
7,6,124,31.8,24.52624802339859
11,3,1,73.7,66.79749443772494
0,36,128,44.9,33.745019125635025
3,10,125,61.05,43.97065408943369
12,46,105,38.3,35.00090224400989
15,4,122,33.2,42.398609709083125
11,8,107,85.35,63.24328547675822
18,34,108,23.8,33.21318698158435
7,21,123,69.4,42.28275746622219
7,7,124,21.7,16.949149955396773
16,27,120,30.2,27.698755434704626
4,39,126,34.2,29.344774483265063
16,30,12,24.0,23.98464421030124
0,36,128,39.05,25.37399207228162
9,12,109,49.55,42.15694361237354
7,7,124,19.7,13.680951028807595
15,4,122,26.8,25.918089598214074
16,27,120,15.75,22.468398860809398
4,40,126,36.7,38.138390659613094
12,46,105,41.95,41.500126822888014
18,34,108,25.15,28.77183381455954
16,30,12,24.7,32.18711739680628
0,36,128,48.85,33.97874722761118
3,10,125,73.75,51.86102379893482
8,27,121,81.8,65.75200617311592
11,8,107,61.1,42.006139902086744
7,7,124,39.55,39.16695035358255
11,3,1,73.55,72.5762575357447
15,4,122,16.35,18.9355555281036
4,40,126,29.6,27.515354565080663
16,27,120,12.7,17.057487937467293
7,21,123,74.3,50.67554169730985
0,45,127,103.4,89.76483897267055
0,36,128,39.8,22.749436083236503
18,35,108,16.95,31.02371758238492
16,30,12,16.15,20.818198010900286
9,12,109,64.0,69.58901909746514
12,46,105,42.7,38.06932734118803
3,10,125,51.15,46.98518803555905
7,7,124,36.1,36.24754075142637
4,40,126,42.15,28.260582554430638
15,4,122,28.5,28.251688351970085
0,36,128,36.45,21.789603991474078
16,27,120,26.25,25.420412436092622
8,27,121,48.1,61.188148147204224
16,30,12,15.25,20.209104253698186
18,35,108,14.65,17.71194957916087
11,3,1,57.25,56.204396718818316
7,7,124,30.45,22.92200735216337
11,9,107,61.5,76.62931966015977
4,40,126,34.7,35.60765736689083
0,36,128,40.95,32.95367561960434
3,10,125,47.95,46.05085861248809
15,4,122,21.35,24.484742832607964
16,27,120,13.8,26.122384029188854
7,21,123,65.75,82.0377801285545
12,46,105,48.7,49.95166084378608
8,27,121,33.15,47.063534884127364
7,7,124,22.5,17.768985398870225
16,31,12,22.45,20.669008073365355
0,45,127,79.35,90.27051450763801
18,35,108,25.85,44.35416671816931
4,40,126,34.75,28.891585006893035
0,36,128,47.25,22.05942930024781
15,4,122,18.85,18.632950440154747
9,12,109,77.2,78.81397151053334
7,7,124,25.7,19.312117821120555
16,27,120,19.4,21.08229489156095
3,10,125,50.5,42.58551767666414
7,21,123,40.0,38.4009320062335
12,46,105,33.7,39.220161302977566
4,40,126,25.35,20.084754626856974
16,31,12,28.7,32.908325614300736
18,35,108,12.8,15.140047973225812
11,9,107,56.95,60.68857084805135
7,7,124,22.8,20.77853143080744
15,5,122,21.45,22.0322132581507
11,3,1,73.6,66.36771567720653
0,37,128,46.65,31.276820069888988
0,45,127,65.7,60.06145975056235
4,40,126,33.8,32.974631397325325
16,27,120,27.6,28.867027265686623
3,10,125,55.5,41.08079330961573
7,7,124,23.75,20.75388359345128
12,46,105,32.35,31.12162050983037
16,31,12,16.05,20.072172410159244
8,28,121,76.5,71.40507132218492
0,37,128,37.85,29.86332903499929
9,12,109,58.9,62.85982735210814
18,35,108,29.95,38.59025647410032
16,27,120,11.55,18.23667502012013
15,5,122,34.2,36.626996083561956
11,9,107,52.85,40.3514494619984
4,40,126,38.6,37.23806767557262
7,7,124,30.2,21.770574056208122
0,37,128,36.4,26.136081130156168
3,10,125,43.4,43.207455497012496
7,21,123,82.6,67.99876159863037
16,31,12,22.3,26.161643276892384
18,35,108,15.95,34.116634312928724
16,27,120,15.45,20.053809193215507
4,40,126,32.25,28.69966990457519
0,37,128,33.4,27.00760126919437
12,46,105,53.7,39.736103164966266
7,7,124,34.9,16.33498022488452
15,5,122,24.85,28.253132103966994
8,28,121,56.6,65.64770409261529
11,3,1,75.1,93.74203124027466
0,45,127,78.45,89.42475519734602
16,31,12,23.25,25.484515422424444
11,9,107,54.8,44.898247533494526
4,40,126,26.75,37.364315934634185
7,7,124,27.4,19.69076727274673
16,28,120,14.5,18.374753847259246
0,37,128,46.25,34.021471548358825
7,21,123,60.7,49.75212240910459
15,5,122,21.55,30.337531037869315
3,10,125,75.55,43.38987876161177
12,47,105,37.35,32.20865362633236
9,12,109,87.95,79.01530497981155
18,35,108,30.25,44.37741839221717
7,7,124,23.3,24.190254671099094
0,37,128,36.35,21.203959411790105
16,31,12,31.5,31.34275707484317
16,28,120,18.65,29.00866476725441
4,40,126,46.75,46.13353044780929
11,9,107,42.4,36.9671262211797
11,3,1,56.2,51.089807408646905
3,10,125,44.0,33.53552711599101
15,5,122,31.7,23.39163143204491
8,28,121,71.15,56.43839212152627
7,7,124,25.85,19.10159816956631
18,35,108,14.75,19.875599957843047
7,21,123,52.0,40.93512196789348
4,40,126,22.0,23.828333422298137
0,37,128,41.95,24.186718843635084
0,45,127,78.8,71.79253736324293
